timestamp;seconds_elapsed;acc_z;acc_y;acc_x;gyro_z;gyro_y;gyro_x
1768418175759234800;0.04723486328125;-0.0848846435546875;-1.0107879638671875;0.0473785400390625;-0.1014520525932312;-0.0580734238028526;0.1450780928134918
1768418175769237000;0.057237060546875;-0.074859619140625;-1.0245208740234375;0.0388641357421875;-0.0887197479605674;-0.0592619925737381;0.1569717675447464
1768418175779239000;0.067239013671875;-0.0836029052734375;-1.0308380126953125;0.0316009521484375;-0.0754817053675651;-0.0409823209047317;0.1592375934123993
1768418175789239800;0.07723974609375;-0.0782623291015625;-1.0253143310546875;0.0336456298828125;-0.063292421400547;-0.0393311604857444;0.140912652015686
1768418175799242000;0.087241943359375;-0.0778045654296875;-1.0316162109375;0.031707763671875;-0.056130114942789;-0.049183789640665;0.1244804114103317
1768418175809243000;0.097242919921875;-0.0742034912109375;-1.0366973876953125;0.030731201171875;-0.0584521256387233;-0.0650362595915794;0.103825993835926
1768418175819244800;0.107244873046875;-0.0743408203125;-1.0374908447265625;0.0252227783203125;-0.0652218833565712;-0.0728246718645095;0.0998783931136131
1768418175829247000;0.1172470703125;-0.0816192626953125;-1.0314483642578125;0.022705078125;-0.061397049576044;-0.0775411278009414;0.112332135438919
1768418175839248000;0.127247802734375;-0.0795135498046875;-1.0243377685546875;0.0214080810546875;-0.0506602488458156;-0.0689364597201347;0.118585504591465
1768418175849250000;0.13725;-0.0743560791015625;-1.01605224609375;0.0176239013671875;-0.0402488857507705;-0.0538270138204097;0.1169031858444213
1768418175859252000;0.147251953125;-0.0751953125;-1.00482177734375;0.011962890625;-0.0319289043545722;-0.0399681888520717;0.1150267198681831
1768418175869252900;0.1572529296875;-0.0800018310546875;-0.996734619140625;0.003753662109375;-0.0265005826950073;-0.0200962126255035;0.1198686137795448
1768418175879255000;0.167255126953125;-0.0863037109375;-0.9929962158203124;0.0004119873046875;-0.0239159855991601;-0.0077367490157485;0.1329127699136734
1768418175889257000;0.177257080078125;-0.091033935546875;-0.989990234375;-0.0023040771484375;-0.024206269532442;0.0017624800093472;0.1470381766557693
