timestamp;acc_z;acc_y;acc_x;gyro_z;gyro_y;gyro_x
1767708902719721000;-0.0098419189453125;0.0099334716796875;0.996185302734375;0.008193481713533401;0.022458171471953392;-0.007096791639924049
1767708902729720800;-0.0080413818359375;0.0092010498046875;0.9982147216796875;0.007735684048384428;0.020013654604554176;0.0007701861904934049
1767708902739720700;-0.0090179443359375;0.008270263671875;0.9996795654296875;0.007766043767333031;0.011236408725380898;-0.0032498554792255163
1767708902749721900;-0.0069732666015625;0.0048675537109375;0.9998321533203125;0.012693158350884914;0.009486446157097816;-0.011189005337655544
1767708902759721700;-0.00433349609375;0.0068359375;1.004302978515625;0.016268718987703323;0.005369198974221945;-0.020314592868089676
1767708902769721900;-0.007720947265625;0.005950927734375;1.0072784423828125;0.015983493998646736;0.0024027039762586355;-0.016988305374979973
1767708902779721700;-0.0139007568359375;0.006378173828125;1.0047607421875;0.018142251297831535;0.00010519486386328936;-0.010779676958918571
1767708902789722600;-0.013427734375;0.009735107421875;1.00299072265625;0.01853480190038681;0.002843989757820964;-0.0032256206031888723
1767708902799722800;-0.0093994140625;0.0112152099609375;0.9995574951171875;0.021090904250741005;0.007030212786048651;-0.003913515247404575
1767708902809722600;-0.0064544677734375;0.0088653564453125;1.0016021728515625;0.021258417516946793;0.017121994867920876;0.0017507621087133884
1767708902819722800;-0.0083770751953125;0.00909423828125;1.0015411376953125;0.017528926953673363;0.018504176288843155;0.0034874093253165483
1767708902829722600;-0.0021820068359375;0.0085601806640625;1.001556396484375;0.0137227363884449;0.014515292830765247;-0.004306331276893616
1767708902839723800;-0.00115966796875;0.0094146728515625;1.000030517578125;0.013561614789068699;0.011862251907587051;-0.010100836865603924
1767708902849724000;-0.0074615478515625;0.007781982421875;0.9970245361328125;0.009387110359966755;0.020418722182512283;-0.011254518292844296
1767708902859723800;-0.0131378173828125;0.0084991455078125;0.9947509765625;0.008975119329988956;0.023749537765979767;-0.010967696085572243
1767708902869724000;-0.0074462890625;0.0082244873046875;0.9999237060546875;0.008347677998244762;0.018568623811006546;-0.013003416359424591
1767708902879724800;-0.0027923583984375;0.00567626953125;1.0006103515625;0.008315187878906727;0.01332778949290514;-0.014586399309337139
1767708902889724700;-0.0058441162109375;0.007904052734375;1.002105712890625;0.010010023601353168;0.01004917174577713;-0.011885154992341995
1767708902899724800;-0.0060577392578125;0.0083160400390625;1.0019378662109375;0.01077142171561718;0.009792443364858627;-0.008610532619059086
1767708902909724700;-0.007080078125;0.01092529296875;1.000701904296875;0.011994345113635063;0.01296426821500063;-0.007224090863019228
1767708902919724800;-0.008941650390625;0.0120391845703125;0.9997100830078125;0.01022547297179699;0.01643143780529499;-0.005360144190490246
1767708902929725700;-0.00897216796875;0.0099639892578125;0.999786376953125;0.009063003584742546;0.018622154369950294;-0.006929545197635889
1767708902939725600;-0.0082550048828125;0.0114288330078125;0.999969482421875;0.007982558570802212;0.024748222902417183;-0.004282363224774599
1767708902949725700;-0.01220703125;0.0106353759765625;0.99945068359375;0.00612420542165637;0.030117422342300415;0.0013851100811734796
1767708902959725600;-0.011138916015625;0.007781982421875;0.9959564208984375;0.0037148434203118086;0.03575107455253601;0.007685350254178047
1767708902969726000;-0.0101776123046875;0.0097808837890625;0.9953155517578125;-0.004048271104693413;0.03527223691344261;0.017076721414923668
1767708902979726800;-0.0076751708984375;0.0105438232421875;0.99072265625;-0.011114968918263912;0.043954409658908844;0.019784091040492058
1767708902989726700;-0.00152587890625;0.009429931640625;0.9904937744140625;-0.00920228660106659;0.0547785609960556;0.012809005565941334
1767708902999726800;0.0003509521484375;0.0067596435546875;0.9983673095703125;-0.006704241503030062;0.058765310794115067;0.007841943763196468
1767708903009726700;-0.0009002685546875;0.0055084228515625;1.00604248046875;-0.003915912006050348;0.06102047860622406;0.00364719913341105
1767708903019727600;-0.0054473876953125;0.00555419921875;1.0096435546875;-0.0014112089993432164;0.06054243817925453;0.010497648268938065
1767708903029727700;-0.0093231201171875;0.006561279296875;1.01055908203125;-0.00407437002286315;0.05499933660030365;0.027284618467092514
1767708903039727600;-0.00628662109375;0.008758544921875;1.0093231201171875;-0.00737189594656229;0.053708501160144806;0.02532240003347397
