timestamp;seconds_elapsed;acc_z;acc_y;acc_x;gyro_z;gyro_y;gyro_x
1768421445862137300;0.070137451171875;0.0131988525390625;-0.9970245361328124;-0.0652923583984375;-0.0057795923203229;-0.0142532382160425;-0.019519904628396
1768421445872137200;0.08013720703125;0.014129638671875;-1.0009765625;-0.0682220458984375;-0.0069657638669013;-0.0135453697293996;-0.0208733230829238
1768421445882137300;0.090137451171875;0.0171356201171875;-1.0012969970703125;-0.0692901611328125;-0.0083721792325377;-0.013145362958312;-0.0194613151252269
1768421445892137200;0.10013720703125;0.0184478759765625;-0.9972686767578124;-0.0708160400390625;-0.0101852593943476;-0.0167776476591825;-0.0134204672649502
1768421445902137300;0.110137451171875;0.015533447265625;-0.995086669921875;-0.071990966796875;-0.0131746577098965;-0.0190360099077224;-0.0054411045275628
1768421445912137200;0.12013720703125;0.014892578125;-0.99298095703125;-0.068267822265625;-0.0149624375626444;-0.019138541072607;0.0013137373607605
1768421445922136300;0.13013623046875;0.0172119140625;-0.995391845703125;-0.0650177001953125;-0.0112374741584062;-0.0183830019086599;0.0029425267130136
1768421445932136200;0.14013623046875;0.020843505859375;-0.9986114501953124;-0.0619964599609375;-0.0061220745556056;-0.0168367698788642;-0.0022168152499943
1768421445942136300;0.15013623046875;0.0226593017578125;-1.00030517578125;-0.06207275390625;-0.0050448258407413;-0.0155014619231224;-0.0065314024686813
1768421445952136200;0.16013623046875;0.0247955322265625;-1.00238037109375;-0.06268310546875;-0.0025374598335474;-0.011911254376173;-0.0105847334489226
1768421445962136300;0.17013623046875;0.024261474609375;-1.0007171630859375;-0.0620880126953125;-0.0018977685831487;-0.012270781211555;-0.0156311579048633
1768421445972136200;0.18013623046875;0.0228118896484375;-1.000885009765625;-0.0635833740234375;-0.0024711471050977;-0.0100454436615109;-0.009949036873877
1768421445982136300;0.19013623046875;0.0198822021484375;-1.0000762939453125;-0.0662384033203125;-0.0027955202385783;-0.0143658900633454;-0.0031601069495081
1768421445992136200;0.20013623046875;0.019744873046875;-1.002105712890625;-0.0689239501953125;-0.0052845105528831;-0.0139448437839746;0.0001997370854951
1768421446002136300;0.21013623046875;0.021087646484375;-1.0013580322265625;-0.0698089599609375;-0.006403038278222;-0.015042332932353;-0.0061990399844944
1768421446012136200;0.22013623046875;0.0233612060546875;-0.999847412109375;-0.067352294921875;-0.0036011263728141;-0.0107216201722621;-0.0139549644663929
1768421446022136300;0.23013623046875;0.0222320556640625;-0.998138427734375;-0.066375732421875;-0.0014056164072826;-0.0074781561270356;-0.0203856993466615
1768421446032136200;0.24013623046875;0.0169219970703125;-0.998443603515625;-0.067291259765625;0.0006205165409483;-0.0056461677886545;-0.0165938902646303
1768421446042136300;0.25013623046875;0.01885986328125;-0.999786376953125;-0.0671844482421875;0.0013614079216495;2.66316110355e-05;-0.0155113153159618
1768421446052136200;0.26013623046875;0.0189208984375;-1.0015411376953125;-0.0676727294921875;0.0016801883466541;0.0024386565200984;-0.0153251606971025
1768421446062135300;0.27013525390625;0.021453857421875;-1.00390625;-0.0674896240234375;0.0015909724170342;0.0015531554818153;-0.016169648617506
1768421446072135200;0.28013525390625;0.0220794677734375;-1.0039520263671875;-0.066375732421875;-0.0038301581516861;-0.0024511734955012;-0.0175209362059831
1768421446082135300;0.29013525390625;0.0203857421875;-1.004669189453125;-0.0670013427734375;-0.0071961274370551;-0.002460760762915;-0.0177816599607467
1768421446092135200;0.30013525390625;0.019012451171875;-1.002349853515625;-0.06884765625;-0.0095461010932922;-0.0015422365395352;-0.0180194806307554
1768421446102135300;0.31013525390625;0.020294189453125;-1.00140380859375;-0.0693511962890625;-0.0116606503725051;-0.0026208166964352;-0.015952069312334
1768421446112135200;0.32013525390625;0.02008056640625;-0.999603271484375;-0.068389892578125;-0.0109511846676468;0.002200836315751;-0.0170503556728363
1768421446122135000;0.330135009765625;0.0190582275390625;-1.000457763671875;-0.0683746337890625;-0.0102534368634223;0.0067393952049314;-0.0172900408506393
1768421446132135200;0.34013525390625;0.017547607421875;-1.0000152587890625;-0.06890869140625;-0.0093176020309329;0.0127562750130891;-0.0156138474121689
1768421446142135000;0.350135009765625;0.0179443359375;-1.0016326904296875;-0.0695648193359375;-0.0075655081309378;0.0181134901940822;-0.0190621074289083
1768421446152135200;0.36013525390625;0.01629638671875;-1.0028076171875;-0.0707244873046875;-0.0076355491764843;0.0241777747869491;-0.0207084733992815
1768421446162135000;0.370135009765625;0.0185394287109375;-0.999481201171875;-0.0644989013671875;0.0002045307774096;0.0264321397989988;-0.0241444837301969
1768421446172135200;0.38013525390625;0.017333984375;-0.9951019287109376;-0.06524658203125;-0.0069151641800999;0.0256497040390968;-0.0209399033337831
1768421446182135300;0.39013525390625;0.0117034912109375;-0.9997100830078124;-0.069793701171875;-0.0066826702095568;0.0340019091963768;-0.0142074320465326
1768421446192135400;0.400135498046875;0.0154571533203125;-0.9957275390625;-0.0642547607421875;-0.0009299758239649;0.0353923439979553;-0.017755826935172
1768421446202135300;0.41013525390625;0.0177764892578125;-0.9918060302734376;-0.0594329833984375;0.0001243696169694;0.0374680124223232;-0.0159992072731256
1768421446212134100;0.420134033203125;0.0157012939453125;-0.9924774169921876;-0.061798095703125;-0.0001547296560602;0.0406568832695484;-0.0128452247008681
1768421446222134000;0.430134033203125;0.016510009765625;-0.9940032958984376;-0.0631103515625;0.0024756744969636;0.0418300032615661;-0.0097674094140529
1768421446232134400;0.440134521484375;0.01849365234375;-0.9975433349609376;-0.0606842041015625;0.0023736753500998;0.0438532084226608;-0.0056118131615221
1768421446242134300;0.45013427734375;0.0178680419921875;-0.99945068359375;-0.05816650390625;0.0042943470180034;0.0418816693127155;-0.0064331321045756
1768421446252134400;0.460134521484375;0.0175628662109375;-1.001251220703125;-0.05718994140625;0.0032661007717251;0.0394134521484375;-0.0093495594337582
1768421446262134300;0.47013427734375;0.0162506103515625;-1.00189208984375;-0.0584869384765625;0.0027648939285427;0.0387702994048595;-0.0105072353035211
1768421446272134400;0.480134521484375;0.0170745849609375;-1.0004425048828125;-0.0565185546875;0.000364320439985;0.037503432482481;-0.0131839793175458
1768421446282134300;0.49013427734375;0.0154571533203125;-0.9996185302734376;-0.0586700439453125;-8.92158932401e-05;0.0331310555338859;-0.0110579775646328
1768421446292134400;0.500134521484375;0.015380859375;-0.9988555908203124;-0.058685302734375;-0.0015936355339363;0.0289325825870037;-0.0100102899596095
1768421446302134300;0.51013427734375;0.0146636962890625;-0.9978179931640624;-0.05828857421875;-0.0028027107473462;0.0243964195251464;-0.009222793392837
1768421446312134100;0.520134033203125;0.0154266357421875;-0.996429443359375;-0.055267333984375;-0.0031675638165324;0.0185228176414966;-0.007694671396166
1768421446322134300;0.53013427734375;0.016082763671875;-0.998016357421875;-0.0546417236328125;-0.0027164241764694;0.0157909467816352;-0.0073945331387221
1768421446332134400;0.540134521484375;0.0157928466796875;-0.99658203125;-0.0576019287109375;-0.0047880974598228;0.0095168063417077;-0.0078885490074753
1768421446342133500;0.550133544921875;0.0143280029296875;-0.9982757568359376;-0.0570831298828125;-0.0083106607198715;0.0060770674608647;-0.0067508472129702
1768421446352133600;0.560133544921875;0.013641357421875;-1.0005950927734375;-0.0568084716796875;-0.0092177335172891;0.0032474587205797;-0.0060208747163414
1768421446362133500;0.570133544921875;0.0126495361328125;-1.0019378662109375;-0.0560302734375;-0.009171393699944;-0.001587243983522;-0.0060954429209232
1768421446372133400;0.58013330078125;0.0123443603515625;-1.0024566650390625;-0.055419921875;-0.0104449177160859;-0.0061630872078239;-0.0076382122933864
1768421446382133500;0.590133544921875;0.012298583984375;-1.0032806396484375;-0.0556793212890625;-0.0093407714739441;-0.0091018853709101;-0.0121064642444252
1768421446392133400;0.60013330078125;0.0121612548828125;-1.0019073486328125;-0.0565032958984375;-0.0099945776164531;-0.0125964852049946;-0.0157864205539226
1768421446402133500;0.610133544921875;0.013275146484375;-1.0044403076171875;-0.0586700439453125;-0.0102342618629336;-0.0158157143741846;-0.0168956257402896
1768421446412133400;0.62013330078125;0.011383056640625;-1.00555419921875;-0.0600738525390625;-0.0088169276714324;-0.0152087798342108;-0.014968829229474
1768421446422133500;0.630133544921875;0.010040283203125;-1.0042266845703125;-0.06146240234375;-0.0080382190644741;-0.0157755017280578;-0.0151126403361558
1768421446432133400;0.64013330078125;0.007354736328125;-1.003143310546875;-0.0646514892578125;-0.0065263425931334;-0.0123240444809198;-0.0148031804710626
1768421446442133500;0.650133544921875;0.00726318359375;-1.000457763671875;-0.0634307861328125;-0.0057614827528595;-0.0112710306420922;-0.0136737339198589
1768421446452133400;0.66013330078125;0.0089569091796875;-0.9993743896484376;-0.0608062744140625;-0.0046754456125199;-0.0083567332476377;-0.0103919208049774
1768421446462133500;0.670133544921875;0.009857177734375;-0.99932861328125;-0.0597381591796875;-9.40095851547e-05;-0.0061689461581408;-0.0053934338502585
1768421446472133400;0.68013330078125;0.0096893310546875;-0.998870849609375;-0.0551910400390625;0.0056240637786686;-0.002609631512314;-0.0045103295706212
1768421446482132500;0.690132568359375;0.0101318359375;-0.9985504150390624;-0.0534210205078125;0.0108566423878073;-0.0005384911783039;-0.0018239989876747
1768421446492132400;0.70013232421875;0.0117340087890625;-0.9973907470703124;-0.05462646484375;0.0100686131045222;-0.0009701895760372;-0.0010330402292311
1768421446502132500;0.710132568359375;0.010650634765625;-0.996795654296875;-0.0548553466796875;0.0119466744363307;-0.0032802154310047;0.0014921691035851
1768421446512132400;0.72013232421875;0.01153564453125;-0.9966278076171876;-0.05194091796875;0.0126526784151792;-0.0072115738876163;0.0040514669381082
1768421446522132500;0.730132568359375;0.0117034912109375;-0.994873046875;-0.0520172119140625;0.0121056651696562;-0.0069625684991478;0.0062786685302853
1768421446532132400;0.74013232421875;0.0135345458984375;-0.9967498779296876;-0.053741455078125;0.0115232318639755;-0.0074669709429144;0.0053508230485022
1768421446542132500;0.750132568359375;0.0122528076171875;-0.9990997314453124;-0.055999755859375;0.0093362433835864;-0.0108523815870285;0.0062219430692493
1768421446552132400;0.76013232421875;0.012939453125;-1.000579833984375;-0.0562591552734375;0.0064464476890861;-0.0150774866342544;0.0091591440141201
1768421446562132500;0.770132568359375;0.0120849609375;-1.0028076171875;-0.05731201171875;0.0041662491858005;-0.0213300567120313;0.0110044479370117
1768421446572132400;0.78013232421875;0.013580322265625;-1.004364013671875;-0.0557708740234375;-0.0021315941121429;-0.0295728053897619;0.0083564668893814
1768421446582132200;0.79013232421875;0.0125732421875;-1.0036468505859375;-0.0545196533203125;-0.0051982239820063;-0.033473003655672;0.0102494414895772
1768421446592132400;0.80013232421875;0.00885009765625;-1.0025177001953125;-0.052093505859375;-0.0058238008059561;-0.0337462462484836;0.013881460763514
1768421446602132200;0.81013232421875;0.008514404296875;-1.00372314453125;-0.053192138671875;-0.0059987702406942;-0.032519593834877;0.01104546058923
1768421446612132600;0.820132568359375;0.0153350830078125;-1.00341796875;-0.0565032958984375;-0.0061843926087021;-0.0317432805895805;0.0057351174764335
1768421446622131500;0.83013134765625;0.019256591796875;-1.0039825439453125;-0.060760498046875;-0.0052898367866873;-0.033214945346117;-0.0019811254460364
1768421446632131300;0.84013134765625;0.0149993896484375;-1.00164794921875;-0.0608062744140625;-0.0044946167618036;-0.0301291402429342;0.000532099569682
1768421446642131500;0.85013134765625;0.009613037109375;-0.997467041015625;-0.0625152587890625;-0.0052964948117733;-0.0272896774113178;0.0084805702790617
1768421446652131300;0.86013134765625;0.0058441162109375;-0.9961700439453124;-0.0653076171875;-0.0047737164422869;-0.0235378164798021;0.0115586519241333
1768421446662131500;0.87013134765625;0.00640869140625;-0.9985504150390624;-0.065673828125;-0.0051769185811281;-0.0220919866114854;0.010694189928472
1768421446672131600;0.880131591796875;0.0100555419921875;-1.002410888671875;-0.065521240234375;-0.0044868937693536;-0.0207526832818985;0.007757521700114
1768421446682131500;0.89013134765625;0.0118865966796875;-1.004302978515625;-0.0648956298828125;-0.0032104407437145;-0.0176048260182142;0.0039939428679645
1768421446692131600;0.900131591796875;0.0108489990234375;-1.002105712890625;-0.0621185302734375;-0.0002708434767555;-0.0137879839166998;0.0041076596826314
1768421446702131500;0.91013134765625;0.0118255615234375;-1.0001220703125;-0.0606231689453125;0.0036669063847512;-0.0094065507873892;0.0027939223218709
1768421446712131600;0.920131591796875;0.01361083984375;-0.9995880126953124;-0.06024169921875;0.0053289853967726;-0.0068826735951006;0.0036453348584473
1768421446722131500;0.93013134765625;0.011199951171875;-1.000518798828125;-0.0635833740234375;0.0073841465637087;-0.0067654945887625;0.0063918530941009
1768421446732131600;0.940131591796875;0.0092620849609375;-1.0030517578125;-0.06494140625;0.0082438150420784;-0.0048962216824293;0.0043310988694429
1768421446742131500;0.95013134765625;0.0111083984375;-1.005096435546875;-0.064300537109375;0.007433415390551;-0.002993392990902;-0.0037627802230417
1768421446752131600;0.960131591796875;0.012115478515625;-1.005218505859375;-0.0650787353515625;0.0068997177295386;-0.0007693872321397;-0.012369317933917
1768421446762131500;0.97013134765625;0.011627197265625;-1.0009765625;-0.0653533935546875;0.008231564424932;0.0042240396142005;-0.0130710611119866
