timestamp;acc_z;acc_y;acc_x;gyro_z;gyro_y;gyro_x
1767708643575376600;0.0420989990234375;0.0620880126953125;0.990997314453125;0.03930852189660072;-0.021207816898822784;0.05567098408937454
1767708643585378000;0.0433197021484375;0.0545501708984375;0.987701416015625;0.04080016165971756;-0.03068946860730648;0.051896754652261734
1767708643595378000;0.0416259765625;0.045318603515625;0.985809326171875;0.03905152902007103;-0.038592930883169174;0.05770430713891983
1767708643605377800;0.0326690673828125;0.044281005859375;0.979400634765625;0.03573775663971901;-0.04701331630349159;0.07068055868148804
1767708643615379000;0.03216552734375;0.0473175048828125;0.9731292724609375;0.023565247654914856;-0.059363991022109985;0.08760149031877518
1767708643625378800;0.0328521728515625;0.0423736572265625;0.9750213623046875;0.012870791368186474;-0.07340817153453827;0.09255203604698181
1767708643635379700;0.0333404541015625;0.0442352294921875;0.9739227294921875;-0.0029547770973294973;-0.0876409038901329;0.10185366123914719
1767708643645379800;0.030670166015625;0.0438690185546875;0.9648895263671875;-0.023479493334889412;-0.10404011607170105;0.11305171996355057
1767708643655381000;0.01324462890625;0.0426483154296875;0.959136962890625;-0.03413186967372894;-0.11122506111860275;0.13616237044334412
1767708643665380900;-0.0040435791015625;0.050506591796875;0.9570465087890625;-0.038541533052921295;-0.1069653332233429;0.17036481201648712
1767708643675381000;-0.004364013671875;0.057525634765625;0.969390869140625;-0.03574201837182045;-0.08344482630491257;0.2007562667131424
1767708643685382000;0.010223388671875;0.0658111572265625;1.000396728515625;-0.027966387569904327;-0.037640850991010666;0.20967359840869904
1767708643695381800;0.0297088623046875;0.074005126953125;1.028533935546875;-0.0244281105697155;0.022594524547457695;0.2027065008878708
1767708643705383000;0.04638671875;0.0672607421875;1.04437255859375;-0.024986842647194862;0.055030763149261475;0.20092138648033142
1767708643715382800;0.054443359375;0.0546875;1.0552215576171875;-0.022430473938584328;0.053705837577581406;0.21313437819480896
1767708643725383000;0.05572509765625;0.0413055419921875;1.056976318359375;-0.01519839372485876;0.01606232300400734;0.23045878112316132
1767708643735383800;0.05706787109375;0.020599365234375;1.0526275634765625;-0.010403105989098549;-0.037085048854351044;0.2362588793039322
1767708643745383700;0.0505218505859375;0.005035400390625;1.0533447265625;-0.013228453695774078;-0.08417719602584839;0.2309863418340683
1767708643755384800;0.03521728515625;0.00140380859375;1.0477752685546875;-0.024216389283537865;-0.10272344946861267;0.2213752567768097
1767708643765385000;0.0206756591796875;0.005218505859375;1.0428924560546875;-0.038848597556352615;-0.11631542444229126;0.20330198109149933
1767708643775385900;0.0134735107421875;0.01068115234375;1.0315093994140625;-0.050878893584012985;-0.11331936717033386;0.177266925573349
1767708643785385700;0.011016845703125;0.017120361328125;1.0159759521484375;-0.05567764490842819;-0.08762279152870178;0.15713129937648773
1767708643795385900;0.016754150390625;0.0209197998046875;1.0016021728515625;-0.06118825450539589;-0.06753350049257278;0.13667289912700653
