time,seconds_elapsed,z,y,x
1768416543824580600,0.07458056640625,0.013885270804166794,0.059334252029657364,-0.017096590250730515
1768416543834582500,0.08458251953125,0.01581772230565548,0.05902332812547684,-0.01603223755955696
1768416543844583400,0.09458349609375,0.014468565583229065,0.0577671155333519,-0.015506263822317123
1768416543854585600,0.104585693359375,0.011943881399929523,0.05403316766023636,-0.012540150433778763
1768416543864587500,0.11458740234375,0.010139590129256248,0.04936278238892555,-0.011339064687490463
1768416543874588400,0.12458837890625,0.00543612614274025,0.046143610030412674,-0.010995820164680481
1768416543884590600,0.134590576171875,0.002743403660133481,0.04052993282675743,-0.011179046705365181
1768416543894591500,0.144591552734375,-0.0024362641852349043,0.03437802568078041,-0.010086732916533947
1768416543904593400,0.154593505859375,-0.0027321414090692997,0.026211708784103394,-0.009524539113044739
1768416543914595600,0.164595703125,-0.007501103915274143,0.015087110921740532,-0.010984750464558601
1768416543924596500,0.174596435546875,-0.008649990893900394,0.007055283524096012,-0.014621030539274216
1768416543934598700,0.1845986328125,-0.010697045363485813,0.0007878770120441914,-0.01568184234201908
1768416543944599600,0.194599609375,-0.010624341666698456,-0.00837872363626957,-0.016347099095582962
1768416543954601500,0.2046015625,-0.01030530221760273,-0.014031477272510529,-0.01805829629302025
1768416543964603600,0.214603759765625,-0.011146861128509045,-0.0202462300658226,-0.018088921904563904
1768416543974604500,0.2246044921875,-0.011266970075666904,-0.025985607877373695,-0.016697954386472702
1768416543984606500,0.2346064453125,-0.007660187780857086,-0.027017712593078613,-0.011902779340744019
1768416543994607600,0.244607666015625,-0.00698805321007967,-0.025509268045425415,-0.012406496331095695
1768416544004609500,0.254609619140625,-0.00632865447551012,-0.024970775470137596,-0.015316000208258629
1768416544014611500,0.264611572265625,-0.007553724572062492,-0.02421620488166809,-0.019056182354688644
1768416544024612600,0.274612548828125,-0.0053305174224078655,-0.021355703473091125,-0.01710035651922226
1768416544034614500,0.284614501953125,-0.004882417153567076,-0.01885700784623623,-0.010689405724406242
1768416544044615400,0.294615478515625,-0.002461603842675686,-0.01477251760661602,-0.0066432650201022625
1768416544054617600,0.30461767578125,-0.004077037796378136,-0.010840851813554764,-0.0058456482365727425
1768416544064619500,0.31461962890625,-0.0041334968991577625,-0.009985710494220257,-0.008206807076931
1768416544074620400,0.324620361328125,-0.006034516263753176,-0.010022403672337532,-0.012246061116456985
1768416544084622600,0.33462255859375,-0.006516281981021166,-0.011222423985600471,-0.022517872974276543
1768416544094623500,0.34462353515625,-0.006443060003221035,-0.010010319761931896,-0.029604583978652954
1768416544104625400,0.35462548828125,-0.0056294649839401245,-0.01253180019557476,-0.03017769753932953
1768416544114627600,0.364627685546875,-0.004535085987299681,-0.01280796155333519,-0.027958903461694717
1768416544124628500,0.37462841796875,-0.005983845796436071,-0.013938473537564278,-0.027161020785570145
1768416544134630700,0.384630615234375,-0.006245563738048077,-0.01476394571363926,-0.031236909329891205
1768416544144631600,0.394631591796875,-0.006138504482805729,-0.01687796227633953,-0.02958548441529274
1768416544154633500,0.404633544921875,-0.005935195833444595,-0.015947038307785988,-0.03163151443004608
1768416544164635600,0.4146357421875,-0.006703251041471958,-0.015731588006019592,-0.029972631484270096
1768416544174636500,0.424636474609375,-0.007466881535947323,-0.01368512399494648,-0.03063191846013069
1768416544184638500,0.434638427734375,-0.007862093858420849,-0.013617746531963348,-0.02718339115381241
1768416544194639600,0.4446396484375,-0.009346078149974346,-0.011664957739412785,-0.02576613426208496
1768416544204641500,0.4546416015625,-0.009921320714056492,-0.011361890472471714,-0.023936275392770767
1768416544214643500,0.4646435546875,-0.011013953946530819,-0.012390803545713425,-0.02116083912551403
1768416544224644600,0.47464453125,-0.012531156651675701,-0.011917559430003166,-0.01976933889091015
1768416544234646500,0.484646484375,-0.01079070195555687,-0.012989131733775139,-0.017024952918291092
1768416544244647400,0.4946474609375,-0.011557159945368767,-0.01257793977856636,-0.01774454116821289
1768416544254649600,0.504649658203125,-0.012444384396076202,-0.010185938328504562,-0.016468467190861702
1768416544264651800,0.51465185546875,-0.009132742881774902,-0.009980342350900173,-0.017286591231822968
1768416544274652700,0.524652587890625,-0.008305925875902176,-0.009086835198104382,-0.016745204105973244
1768416544284654600,0.534654541015625,-0.00880952924489975,-0.008731302805244923,-0.01533452793955803
1768416544294655700,0.54465576171875,-0.008366521447896957,-0.00783483311533928,-0.013956228271126747
1768416544304657700,0.55465771484375,-0.008851748891174793,-0.005215880926698446,-0.013284580782055855
1768416544314659600,0.56465966796875,-0.00653531588613987,-0.005732367746531963,-0.01141100749373436
1768416544324660700,0.57466064453125,-0.007571818307042122,-0.007060752250254154,-0.012583596631884575
1768416544334662700,0.58466259765625,-0.005258094985038042,-0.007446977309882641,-0.012957315891981125
1768416544344663600,0.59466357421875,-0.0024612429551780224,-0.0075172847136855125,-0.012365296483039856
1768416544354665700,0.604665771484375,-0.0029762517660856247,-0.005658697336912155,-0.013157203793525696
1768416544364667600,0.614667724609375,-0.0011461275862529874,-0.007202532142400742,-0.014332456514239311
1768416544374668500,0.62466845703125,-0.003957305569201708,-0.008004467934370041,-0.015114855952560902
1768416544384670700,0.634670654296875,-0.0035322648473083973,-0.008650817908346653,-0.014589947648346424
1768416544394671600,0.644671630859375,-0.002545931376516819,-0.007115413900464773,-0.015540583059191704
1768416544404673800,0.654673828125,0.0003148360410705209,-0.007479467894881964,-0.017365381121635437
1768416544414675700,0.66467578125,-0.00012735847849398851,-0.004178629256784916,-0.015479670837521553
1768416544424676600,0.674676513671875,-0.00006530690006911755,-0.0016462295316159725,-0.012048454955220222
1768416544434678800,0.6846787109375,0.0019343593157827854,-0.0006815409287810326,-0.011094130575656891
1768416544444679700,0.6946796875,0.00266246753744781,0.001991740195080638,-0.009865348227322102
1768416544454681600,0.704681640625,0.003477997612208128,0.003995078150182962,-0.009307073429226875
1768416544464683800,0.714683837890625,0.0033110175281763077,0.0037207724526524544,-0.005655613727867603
1768416544474684700,0.7246845703125,0.003434588201344013,0.0028251511976122856,-0.006739785894751549
1768416544484686600,0.7346865234375,0.004273483995348215,0.002253903541713953,-0.006651102565228939
1768416544494687700,0.744687744140625,0.004366318695247173,0.0022668023593723774,-0.007804327178746462
1768416544504689700,0.754689697265625,0.003930625505745411,0.000023622065782546997,-0.008898619562387466
1768416544514691600,0.764691650390625,0.002518296241760254,-0.001091384794563055,-0.0098014697432518
1768416544524692700,0.774692626953125,0.00038803357165306807,-0.003545754123479128,-0.012277410365641117
1768416544534694700,0.784694580078125,-0.0005737042520195246,-0.004225767217576504,-0.01227615401148796
1768416544544695600,0.794695556640625,0.0010676018428057432,-0.006068941205739975,-0.012100385501980782
1768416544554697700,0.80469775390625,0.001616996363736689,-0.009442534297704697,-0.010739017277956009
1768416544564699600,0.81469970703125,0.002660689176991582,-0.010231096297502518,-0.009220749139785767
1768416544574700500,0.824700439453125,0.0020878210198134184,-0.010422665625810623,-0.007908234372735023
1768416544584702700,0.83470263671875,0.0028793122619390488,-0.012011773884296417,-0.007078392896801233
1768416544594703600,0.84470361328125,0.001734504010528326,-0.013294128701090813,-0.007793939672410488
1768416544604705800,0.854705810546875,0.0009661820949986577,-0.013686678372323513,-0.008848018944263458
1768416544614707700,0.864707763671875,-0.0014379312051460147,-0.014315485954284668,-0.007164560258388519
1768416544624708600,0.87470849609375,-0.001495455508120358,-0.013266466557979584,-0.008262049406766891
1768416544634710800,0.884710693359375,-0.0014283208874985576,-0.013289542868733406,-0.009599334560334682
1768416544644711700,0.894711669921875,0.0009200546192005277,-0.009398131631314754,-0.011029718443751335
1768416544654713600,0.904713623046875,0.0016688731266185641,-0.008556708693504333,-0.012057585641741753
1768416544664715800,0.9147158203125,-0.000774843618273735,-0.008884809911251068,-0.013932982459664345
1768416544674716700,0.924716552734375,-0.001391999307088554,-0.00998646765947342,-0.015208525583148003
1768416544684718600,0.934718505859375,-0.004475407302379608,-0.013627009466290474,-0.012629253789782524
1768416544694719700,0.9447197265625,-0.0035881209187209606,-0.01549290306866169,-0.0065580434165894985
1768416544704721700,0.9547216796875,-0.005265379790216684,-0.016366152092814445,-0.005038443487137556
1768416544714723600,0.9647236328125,-0.005002329591661692,-0.011653531342744827,-0.00607635360211134
1768416544724724700,0.974724853515625,-0.0026933690533041954,-0.01010117493569851,-0.007482502609491348
1768416544734726700,0.9847265625,-0.00524114491418004,-0.01326863095164299,-0.009506428614258766
1768416544744727600,0.9947275390625,-0.005320240743458271,-0.014087285846471786,-0.008436104282736778
1768416544754729700,1.004729736328125,-0.004945784341543913,-0.012041011825203896,-0.0019355560652911663
1768416544764730600,1.014730712890625,-0.004910896997898817,-0.009941110387444496,0.0007728785276412964
1768416544774732500,1.024732666015625,-0.0050531174056231976,-0.009373782202601433,0.0017693168483674526
1768416544784734700,1.034734619140625,-0.006596685387194157,-0.007811571937054396,-0.0006586872041225433
1768416544794735600,1.044735595703125,-0.006958703510463238,-0.008623287081718445,-0.0024481010623276234
1768416544804737800,1.05473779296875,-0.007730754092335701,-0.011668878607451916,-0.01032945979386568
1768416544814739700,1.06473974609375,-0.006888380739837885,-0.011835957877337933,-0.011262593790888786
1768416544824740600,1.07474072265625,-0.004739742260426283,-0.011603198014199734,-0.006517639383673668
1768416544834742800,1.08474267578125,-0.002926184330135584,-0.010493932291865349,-0.005170383956283331
1768416544844743700,1.09474365234375,-0.0012704971013590693,-0.009589256718754768,-0.00630995025858283
1768416544854745600,1.10474560546875,-0.0020871548913419247,-0.009251010604202747,-0.009115288965404034
1768416544864746800,1.114746826171875,-0.002025103196501732,-0.006338844075798988,-0.009946993552148342
1768416544874748700,1.124748779296875,-0.001786884036846459,-0.004316197708249092,-0.008414912968873978
1768416544884750600,1.13475048828125,-0.0014537227107211947,-0.00279952771961689,-0.006296368781477213
