time,seconds_elapsed,z,y,x
1768416543823329800,0.073329833984375,0.01261033397167921,0.0619342066347599,-0.021328458562493324
1768416543833331700,0.083331787109375,0.01378372311592102,0.06234646588563919,-0.020617660135030746
1768416543843333400,0.09333349609375,0.012568788602948189,0.06173500418663025,-0.020119914785027504
1768416543853334800,0.103334716796875,0.011245730333030224,0.057565025985240936,-0.01697632111608982
1768416543863336400,0.11333642578125,0.008491222746670246,0.05253484845161438,-0.015454590320587158
1768416543873337600,0.123337646484375,0.004800880327820778,0.049798183143138885,-0.015142734162509441
1768416543883339500,0.133339599609375,0.0015307849971577525,0.04513285681605339,-0.0160005372017622
1768416543893341400,0.143341552734375,-0.003166232258081436,0.03906884044408798,-0.014311028644442558
1768416543903342600,0.153342529296875,-0.004614192992448807,0.031038610264658928,-0.013746172189712524
1768416543913344500,0.163344482421875,-0.007674963679164648,0.019780095666646957,-0.01563621684908867
1768416543923345700,0.173345703125,-0.010252371430397034,0.01155918464064598,-0.01798619143664837
1768416543933347600,0.18334765625,-0.011301123537123203,0.004588626325130463,-0.021105019375681877
1768416543943349500,0.193349609375,-0.01242018397897482,-0.0038932752795517445,-0.020138824358582497
1768416543953350700,0.2033505859375,-0.011293401010334492,-0.009336243383586407,-0.022401979193091393
1768416543963352600,0.2133525390625,-0.012559467926621437,-0.01703251339495182,-0.022888004779815674
1768416543973353700,0.223353759765625,-0.012499812990427017,-0.02183738723397255,-0.020545488223433495
1768416543983355600,0.233355712890625,-0.009071791544556618,-0.02365046739578247,-0.016451943665742874
1768416543993357600,0.243357666015625,-0.00987260416150093,-0.0223897285759449,-0.016927318647503853
1768416544003358700,0.253358642578125,-0.006493052933365107,-0.022131135687232018,-0.019155051559209824
1768416544013360400,0.2633603515625,-0.007982026785612106,-0.020157465711236,-0.022878151386976242
1768416544023361800,0.27336181640625,-0.006991064175963402,-0.017702564597129822,-0.02142033725976944
1768416544033363500,0.283363525390625,-0.0054392400197684765,-0.016174443066120148,-0.015054583549499512
1768416544043365400,0.293365478515625,-0.004746019374579191,-0.012002866715192795,-0.010717359371483326
1768416544053366800,0.30336669921875,-0.0052136704325675964,-0.007481351960450411,-0.010103500448167324
1768416544063368400,0.313368408203125,-0.0062456452287733555,-0.006754841655492783,-0.011683554388582706
1768416544073369600,0.32336962890625,-0.0075724320486187935,-0.007234210614115,-0.015075089409947395
1768416544083371500,0.33337158203125,-0.007635282818228006,-0.0069503178820014,-0.025178857147693634
1768416544093373400,0.34337353515625,-0.007706655655056238,-0.0067569720558822155,-0.03355929255485535
