time,seconds_elapsed,z,y,x
1768416543818329600,0.06832958984375,-0.0549774169921875,-0.9912261962890625,-0.020843505859375
1768416543828330500,0.07833056640625,-0.0545196533203125,-0.9952239990234375,-0.0184478759765625
1768416543838332700,0.088332763671875,-0.0540618896484375,-0.997039794921875,-0.0172882080078125
1768416543848333600,0.09833349609375,-0.0538482666015625,-0.9976959228515625,-0.0172576904296875
1768416543858335500,0.10833544921875,-0.05645751953125,-1.000152587890625,-0.0182037353515625
1768416543868337700,0.118337646484375,-0.057952880859375,-1.0006866455078125,-0.015838623046875
1768416543878338600,0.128338623046875,-0.0594482421875,-1.001617431640625,-0.014739990234375
1768416543888340500,0.138340576171875,-0.0593109130859375,-1.0010833740234375,-0.0141143798828125
1768416543898341600,0.148341552734375,-0.059417724609375,-0.9999542236328125,-0.0149688720703125
1768416543908343600,0.158343505859375,-0.0597076416015625,-0.9986724853515625,-0.0147247314453125
1768416543918345700,0.168345703125,-0.057861328125,-0.9999237060546875,-0.0134429931640625
1768416543928346600,0.1783466796875,-0.057891845703125,-1.0028228759765625,-0.0118865966796875
1768416543938348500,0.1883486328125,-0.06072998046875,-1.00091552734375,-0.011138916015625
1768416543948349400,0.198349365234375,-0.0625,-0.9989166259765625,-0.009765625
1768416543958351600,0.2083515625,-0.0622711181640625,-0.999114990234375,-0.011138916015625
1768416543968353500,0.218353515625,-0.063873291015625,-0.9983978271484375,-0.010955810546875
1768416543978354700,0.228354736328125,-0.0662384033203125,-0.998291015625,-0.0102386474609375
1768416543988356600,0.238356689453125,-0.068939208984375,-0.9990081787109375,-0.011383056640625
1768416543998357500,0.248357421875,-0.0684661865234375,-1.0000762939453125,-0.0130615234375
1768416544008359700,0.258359619140625,-0.0666656494140625,-1.0021820068359375,-0.0160980224609375
1768416544018361600,0.268361572265625,-0.064788818359375,-0.9988555908203125,-0.0177154541015625
1768416544028362500,0.278362548828125,-0.066162109375,-0.9946441650390625,-0.01824951171875
1768416544038364700,0.28836474609375,-0.0685272216796875,-0.9920501708984375,-0.0186004638671875
1768416544048365600,0.298365478515625,-0.06927490234375,-0.994903564453125,-0.0162200927734375
1768416544058367500,0.308367431640625,-0.067474365234375,-0.9993896484375,-0.01629638671875
1768416544068369700,0.31836962890625,-0.0647735595703125,-1.00177001953125,-0.0165863037109375
1768416544078370600,0.32837060546875,-0.0655975341796875,-1.00323486328125,-0.0139312744140625
1768416544088372500,0.33837255859375,-0.0626373291015625,-1.0031280517578125,-0.011627197265625
1768416544098373600,0.34837353515625,-0.0616607666015625,-1.0044708251953125,-0.0124053955078125
1768416544108375600,0.35837548828125,-0.0643157958984375,-1.001922607421875,-0.0143280029296875
1768416544118377700,0.368377685546875,-0.0655517578125,-0.999542236328125,-0.0156097412109375
1768416544128378600,0.378378662109375,-0.0659027099609375,-0.9978485107421875,-0.0135498046875
1768416544138380500,0.388380615234375,-0.06488037109375,-0.9957427978515625,-0.013153076171875
1768416544148381400,0.39838134765625,-0.0645904541015625,-0.9941558837890625,-0.0099639892578125
