time,seconds_elapsed,magneticBearing
1767708902727220700,0.051220703125,252.68788015870183
1767708902737220900,0.061220947265625,252.7674873256707
1767708902747221800,0.0712216796875,252.7674873256707
1767708902757221600,0.0812216796875,252.841878238326
1767708902767221800,0.0912216796875,252.63266973826265
1767708902777221600,0.1012216796875,252.65472090097467
1767708902787221800,0.1112216796875,252.7505928434524
1767708902797222700,0.12122265625,252.67507085019938
1767708902807222800,0.131222900390625,252.65950235954625
1767708902817223000,0.141222900390625,252.6763783941356
1767708902827222800,0.151222900390625,252.70406818092368
1767708902837223700,0.1612236328125,252.7974620068638
1767708902847223800,0.171223876953125,252.7236778053047
1767708902857223700,0.1812236328125,252.5843775661997
1767708902867223800,0.191223876953125,252.519227933113
1767708902877223700,0.2012236328125,252.60374729509996
1767708902887224600,0.211224609375,252.54127959905395
1767708902897224700,0.221224609375,252.7054826558675
1767708902907224600,0.231224609375,252.70837241501965
1767708902917224700,0.241224609375,252.7105841185114
1767708902927224600,0.251224609375,252.58079655645963
1767708902937225700,0.261225830078125,252.68491226408605
1767708902947225900,0.271225830078125,252.56038125246778
1767708902957225700,0.281225830078125,252.56038125246778
1767708902967225900,0.291225830078125,252.6765510289853
1767708902977226800,0.301226806640625,252.6765510289853
1767708902987226600,0.3112265625,252.50942408771414
1767708902997226800,0.321226806640625,252.42487367629315
1767708903007226600,0.3312265625,252.43411183213178
1767708903017226800,0.341226806640625,252.5288187836116
1767708903027227600,0.3512275390625,252.41491526263724
1767708903037227500,0.3612275390625,252.54091126560922
1767708903047227600,0.3712275390625,252.51789781993355
1767708903057227800,0.381227783203125,252.5281290552548
1767708903067228700,0.391228759765625,252.5493671212344
1767708903077228800,0.401228759765625,252.58310439919674
1767708903087228700,0.411228759765625,252.65142061249298
1767708903097228800,0.421228759765625,252.61079485240634
1767708903107228700,0.431228759765625,252.48926406437133
1767708903117229800,0.441229736328125,252.6021115566906
1767708903127229700,0.451229736328125,252.5026910346702
1767708903137229600,0.4612294921875,252.4900627489617
1767708903147229700,0.471229736328125,252.45570162832837
1767708903157230600,0.481230712890625,252.63084712252623
1767708903167230700,0.491230712890625,252.5535478114851
1767708903177230800,0.50123095703125,252.46241794457325
