acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
1.031494140625;-0.1435546875;-0.197998046875;-2.213740458015267;-1.8091603053435115;-0.6259541984732825
1.041015625;-0.148193359375;-0.2041015625;-2.122137404580153;-1.5114503816793894;-0.2748091603053435
1.0322265625;-0.14794921875;-0.208984375;-2.4885496183206106;-1.381679389312977;0.13740458015267176
1.0205078125;-0.157470703125;-0.214111328125;-3.0839694656488548;-1.8625954198473282;0.03816793893129771
1.00927734375;-0.155517578125;-0.222900390625;-3.3893129770992365;-2.3893129770992365;-0.09923664122137404
1.02294921875;-0.1572265625;-0.216796875;-4.145038167938932;-2.9236641221374047;0.08396946564885496
1.0009765625;-0.1572265625;-0.2314453125;-4.7251908396946565;-3.885496183206107;0.3053435114503817
0.99169921875;-0.15478515625;-0.2275390625;-5.068702290076335;-4.816793893129771;0.3511450381679389
0.9892578125;-0.14208984375;-0.239501953125;-5.648854961832061;-5.198473282442748;0.3893129770992366
0.98583984375;-0.140869140625;-0.228759765625;-6.916030534351145;-6.6106870229007635;0.3816793893129771
0.97021484375;-0.155517578125;-0.251220703125;-8.091603053435115;-8.213740458015268;0.0916030534351145
0.9765625;-0.157958984375;-0.25244140625;-8.511450381679388;-9.526717557251908;0.08396946564885496
0.982666015625;-0.145263671875;-0.262451171875;-9.48091603053435;-11.099236641221374;0.3816793893129771
0.970458984375;-0.139892578125;-0.273193359375;-10.351145038167939;-12.84732824427481;0.8015267175572519
0.975341796875;-0.138671875;-0.27978515625;-10.954198473282442;-13.49618320610687;1.1145038167938932
0.9775390625;-0.102294921875;-0.277587890625;-12.702290076335878;-15.351145038167939;1.7099236641221374
0.966796875;-0.093017578125;-0.293701171875;-15.053435114503817;-17.66412213740458;1.900763358778626
0.950439453125;-0.09326171875;-0.28515625;-17.236641221374047;-20.480916030534353;1.4198473282442747
0.958740234375;-0.10400390625;-0.26708984375;-18.572519083969464;-22.236641221374047;0.42748091603053434
0.974609375;-0.102294921875;-0.238525390625;-19.603053435114504;-23.404580152671755;-0.7709923664122137
0.961669921875;-0.10205078125;-0.227294921875;-21.404580152671755;-23.82442748091603;-1.4885496183206106
0.949462890625;-0.093017578125;-0.234619140625;-23.53435114503817;-24.870229007633586;-2.5419847328244276
0.998291015625;-0.06787109375;-0.222412109375;-25.625954198473284;-25.893129770992367;-2.801526717557252
1.04296875;-0.05908203125;-0.267822265625;-26.946564885496183;-25.30534351145038;-2.7786259541984735
1.07421875;-0.06884765625;-0.263916015625;-29.244274809160306;-25.778625954198475;-2.404580152671756
1.121337890625;-0.08154296875;-0.284912109375;-31.297709923664122;-24.885496183206108;-2.1603053435114505
1.135009765625;-0.080078125;-0.26708984375;-32.37404580152672;-21.30534351145038;-2.351145038167939
1.103271484375;-0.06396484375;-0.2548828125;-33.25190839694657;-16.786259541984734;-3.198473282442748
1.05078125;-0.043212890625;-0.255859375;-33.87022900763359;-14.053435114503817;-3.732824427480916
1.008544921875;-0.027099609375;-0.2666015625;-35.458015267175576;-12.923664122137405;-3.7786259541984735
1.0;-0.02099609375;-0.26904296875;-35.11450381679389;-12.206106870229007;-2.6946564885496183
0.996826171875;-0.046630859375;-0.2861328125;-32.37404580152672;-10.969465648854962;-0.7480916030534351
0.983642578125;-0.06396484375;-0.3037109375;-28.778625954198475;-8.992366412213741;0.5114503816793893
1.00537109375;-0.0595703125;-0.300048828125;-25.938931297709924;-8.48091603053435;1.4274809160305344
1.022705078125;-0.054931640625;-0.29931640625;-22.671755725190838;-7.885496183206107;2.2290076335877864
1.04833984375;-0.076904296875;-0.297607421875;-17.19083969465649;-5.7251908396946565;2.351145038167939
1.07958984375;-0.077392578125;-0.2861328125;-11.694656488549619;-3.366412213740458;2.351145038167939
1.103271484375;-0.068115234375;-0.27099609375;-7.404580152671755;-0.732824427480916;1.3893129770992367
1.091552734375;-0.071533203125;-0.262939453125;-4.5038167938931295;1.4045801526717556;0.17557251908396945
