time,seconds_elapsed,magneticBearing
1767708643579126800,0.067126708984375,250.15149488578095
1767708643589127700,0.077127685546875,250.14411836565728
1767708643599127800,0.0871279296875,250.13830277186037
1767708643609129000,0.09712890625,250.05371034526792
1767708643619128800,0.10712890625,250.2265121203964
1767708643629129000,0.11712890625,250.10149569484298
1767708643639129900,0.1271298828125,250.27804398692257
1767708643649130000,0.1371298828125,250.32693752238447
1767708643659131000,0.147130859375,250.28977118023423
1767708643669130800,0.157130859375,250.37101587426258
1767708643679131600,0.167131591796875,250.2925978214908
1767708643689131800,0.1771318359375,250.3261668856513
1767708643699132000,0.1871318359375,250.1185024172221
1767708643709132800,0.1971328125,250.05394869633602
1767708643719133000,0.2071328125,250.0240048696166
1767708643729133800,0.2171337890625,250.04374527511345
1767708643739134000,0.227134033203125,250.2978034076859
1767708643749134800,0.237134765625,250.17017803562484
1767708643759134700,0.247134765625,250.11224242887465
1767708643769134800,0.257134765625,250.2040482375362
1767708643779136000,0.267135986328125,250.10294741500536
1767708643789136000,0.277135986328125,250.19816554851542
1767708643799136800,0.28713671875,250.28558359526204
1767708643809137000,0.297136962890625,250.1968058333082
1767708643819136800,0.30713671875,250.26566652088252
1767708643829138000,0.317137939453125,250.25191127219924
1767708643839137800,0.3271376953125,250.30914280496862
1767708643849138700,0.337138671875,250.3479664417072
1767708643859139000,0.34713916015625,250.572933377962
1767708643869140000,0.357139892578125,250.59814579325393
1767708643879139800,0.367139892578125,250.5762600617004
1767708643889140000,0.377139892578125,250.6244672713521
1767708643899140900,0.387140869140625,250.6785850971915
1767708643909140700,0.397140625,250.69191648468652
1767708643919142000,0.407141845703125,250.6219467959482
1767708643929141800,0.417141845703125,250.72753397561985
1767708643939143000,0.427142822265625,250.83103773273925
1767708643949143000,0.43714306640625,250.91713093391627
1767708643959143000,0.447142822265625,250.9328182473326
1767708643969143800,0.457143798828125,250.8625128618561
1767708643979144000,0.46714404296875,250.9131559005662
1767708643989144800,0.477144775390625,251.01167797137657
1767708643999144700,0.487144775390625,251.1247849803329
1767708644009144800,0.497144775390625,251.1848923784596
1767708644019146000,0.50714599609375,251.1851139122074
1767708644029145900,0.517145751953125,251.35387233926798
1767708644039147000,0.52714697265625,251.21411257540802
1767708644049147000,0.53714697265625,251.11301047762646
1767708644059147800,0.547147705078125,251.09058511642374
1767708644069148000,0.55714794921875,250.97173040245963
1767708644079147800,0.567147705078125,250.93642788162708
1767708644089148700,0.577148681640625,250.65400136804618
1767708644099148800,0.587148681640625,250.55728626675386
1767708644109149700,0.597149658203125,250.56926098780764
1767708644119149600,0.607149658203125,250.28836356832124
1767708644129149700,0.617149658203125,249.8785541798763
1767708644139150800,0.62715087890625,249.65756651000416
1767708644149151000,0.63715087890625,249.53302058483052
1767708644159151900,0.64715185546875,249.23914008857656
1767708644169151700,0.65715185546875,248.95674538931593
1767708644179152600,0.667152587890625,248.6411082868246
1767708644189152800,0.67715283203125,248.30090823494947
1767708644199152600,0.687152587890625,248.02480762336353
1767708644209153500,0.697153564453125,247.69417933064176
1767708644219154000,0.70715380859375,247.50042680831626
1767708644229154800,0.71715478515625,247.25209883175665
1767708644239154700,0.72715478515625,247.09722114037112
1767708644249155800,0.73715576171875,247.004493826247
1767708644259155700,0.74715576171875,246.92565502754857
1767708644269155800,0.75715576171875,246.66727981590577
1767708644279156700,0.76715673828125,246.54579027662453
1767708644289156600,0.777156494140625,246.32518088284286
1767708644299157800,0.78715771484375,246.37717516066078
1767708644309158000,0.797157958984375,246.17752850414752
1767708644319157800,0.80715771484375,246.18254586795348
1767708644329158700,0.81715869140625,245.9253959966593
1767708644339158800,0.82715869140625,245.59440206756886
1767708644349159700,0.83715966796875,245.4462190779396
1767708644359159800,0.847159912109375,245.42336953996244
1767708644369160700,0.85716064453125,245.3661406702501
1767708644379160800,0.867160888671875,245.3412669119126
1767708644389161000,0.877160888671875,244.96906580964816
1767708644399161900,0.887161865234375,244.79740835058269
1767708644409161700,0.89716162109375,244.95917326886664
1767708644419162600,0.90716259765625,244.7014804331808
1767708644429162800,0.917162841796875,244.7000731017838
1767708644439163600,0.92716357421875,244.38557526994083
1767708644449163800,0.937163818359375,244.32775785137258
1767708644459163600,0.94716357421875,244.3005642609822
1767708644469164800,0.957164794921875,244.21783670961128
1767708644479165000,0.9671650390625,244.16982716883115
1767708644489165800,0.977165771484375,243.91494234052428
1767708644499165700,0.987165771484375,244.101978203803
1767708644509165800,0.997165771484375,243.9628185929849
1767708644519166700,1.007166748046875,243.96368335270705
1767708644529166600,1.01716650390625,244.18421583284015
1767708644539168000,1.02716796875,243.86406794405303
1767708644549167900,1.03716796875,243.89557729543716
1767708644559168800,1.047168701171875,243.94490818701223
1767708644569169000,1.0571689453125,243.7772910972515
1767708644579168800,1.067168701171875,244.06727392679448
1767708644589169700,1.077169677734375,243.8807343064239
1767708644599169800,1.087169677734375,243.94949764748014
1767708644609170700,1.097170654296875,243.9826387830412
1767708644619170600,1.107170654296875,244.16543747695852
1767708644629172000,1.117171875,244.2684223901345
1767708644639171800,1.127171875,244.28563613034402
1767708644649171700,1.137171630859375,244.60172239495017
1767708644659172900,1.1471728515625,244.70258238814225
1767708644669172700,1.1571728515625,244.92409291873378
1767708644679173600,1.167173583984375,245.17417423636192
1767708644689173800,1.177173828125,245.01712000378032
1767708644699173600,1.187173583984375,245.383311942177
1767708644709174800,1.1971748046875,245.44726400390738
1767708644719175000,1.2071748046875,245.798559283655
